(0.0,0.0)
(0.02,0.0)
(0.04,0.0)
(0.06,0.0)
(0.08,0.0)
(0.1,0.0)
(0.12,0.0)
(0.14,0.0)
(0.16,0.0)
(0.18,0.0)
(0.2,0.0)
(0.22,0.0)
(0.24,0.0)
(0.26,0.0)
(0.28,0.0)
(0.3,0.0)
(0.32,0.0)
(0.34,0.0)
(0.36,0.0)
(0.38,0.0)
(0.4,0.0)
(0.42,0.0)
(0.44,0.0)
(0.46,0.0)
(0.48,0.0)
(0.5,0.0015625)
(0.52,0.009375)
(0.54,0.0125)
(0.56,0.018750000000000003)
(0.58,0.026562500000000003)
(0.6,0.029687500000000002)
(0.62,0.034374999999999996)
(0.64,0.0375)
(0.66,0.0375)
(0.68,0.0375)
(0.7,0.0375)
(0.72,0.0375)
(0.74,0.0375)
(0.76,0.0375)
(0.78,0.0375)
(0.8,0.0375)
(0.82,0.0390625)
(0.84,0.0453125)
(0.86,0.053125)
(0.88,0.0703125)
(0.9,0.1203125)
(0.92,0.19375)
(0.94,0.28125)
(0.96,0.3859375)
(0.98,1.0)
(1.0,1.0)
